院校名称,院校所在地,院校隶属,院校类型,学历层次,经度,纬度
北京大学,北京,教育部,综合,本科,116.308264,39.995304
中国人民大学,北京,教育部,综合,本科,113.316177,23.120075
清华大学,北京,教育部,综合,本科,116.326759,40.003304
北京交通大学,北京,教育部,工科,本科/高职(专科),116.339340,39.950612
北京工业大学,北京,北京市教育委员会,工科,本科/高职(专科),116.481374,39.877484
北京航空航天大学,北京,工业和信息化部,工科,本科,116.347313,39.981771
北京理工大学,北京,工业和信息化部,工科,本科,116.322262,39.957401
北京科技大学,北京,教育部,工科,本科/高职(专科),116.359375,39.988717
北方工业大学,北京,北京市教育委员会,工科,本科,116.206490,39.929413
北京化工大学,北京,教育部,工科,本科/高职(专科),116.420818,39.970398
北京工商大学,北京,北京市教育委员会,财经,本科,116.319878,39.925939
北京服装学院,北京,北京市教育委员会,艺术,本科,116.430602,39.974503
北京邮电大学,北京,教育部,工科,本科,116.358103,39.961554
北京印刷学院,北京,北京市教育委员会,工科,本科/高职(专科),116.329503,39.744558
北京建筑大学,北京,北京市教育委员会,工科,本科,116.341093,39.936144
北京石油化工学院,北京,北京市教育委员会,工科,本科,116.325768,39.748175
北京电子科技学院,北京,中共中央办公厅,工科,本科,116.279773,39.837164
中国农业大学,北京,教育部,农业,本科,116.346695,39.991074
北京农学院,北京,北京市教育委员会,农业,本科/高职(专科),116.311673,40.096215
北京林业大学,北京,教育部,林业,本科,116.341404,40.002502
北京协和医学院,北京,国家卫生健康委员会,医药,本科/高职(专科),116.199644,39.943824
首都医科大学,北京,北京市教育委员会,医药,本科/高职(专科),116.353149,39.865326
北京中医药大学,北京,教育部,医药,本科/高职(专科),116.428174,39.971334
北京师范大学,北京,教育部,师范,本科,116.364489,39.964655
首都师范大学,北京,北京市教育委员会,师范,本科,116.323341,39.924248
首都体育学院,北京,北京市教育委员会,体育,本科,116.348564,39.969368
北京外国语大学,北京,教育部,语言,本科,116.312886,39.955213
北京第二外国语学院,北京,北京市教育委员会,语言,本科,116.563419,39.912732
北京语言大学,北京,教育部,语言,本科,116.346393,39.994835
中国传媒大学,北京,教育部,语言,本科/高职(专科),116.556587,39.912792
中央财经大学,北京,教育部,财经,本科,116.342659,39.959511
对外经济贸易大学,北京,教育部,财经,本科,116.308632,39.936787
北京物资学院,北京,北京市教育委员会,财经,本科,116.638282,39.930756
首都经济贸易大学,北京,北京市教育委员会,财经,本科/高职(专科),116.308571,39.979755
中国消防救援学院,北京,应急管理部,综合,本科, , 
外交学院,北京,外交部,语言,本科,116.345581,39.926575
中国人民公安大学,北京,公安部,政法,本科, , 
国际关系学院,北京,其他主管部门1,综合,本科,116.306770,39.992176
北京体育大学,北京,国家体育总局,体育,本科,116.318919,40.024420
中央音乐学院,北京,教育部,艺术,本科,116.308006,39.966522
中国音乐学院,北京,北京市教育委员会,艺术,本科,116.587318,39.913498
中央美术学院,北京,教育部,艺术,本科/高职(专科),114.375816,34.806561
中央戏剧学院,北京,教育部,艺术,本科/高职(专科),116.375961,40.105671
中国戏曲学院,北京,北京市教育委员会,艺术,本科,116.332657,39.863998
北京电影学院,北京,北京市教育委员会,艺术,本科,116.356356,39.970156
北京舞蹈学院,北京,北京市教育委员会,艺术,本科,116.319718,39.947313
中央民族大学,北京,国家民族事务委员会,民族,本科,116.238220,39.863148
中国政法大学,北京,教育部,政法,本科,125.326035,43.841141
华北电力大学(北京),北京,教育部,工科,本科,116.310015,40.089676
北京工业职业技术学院,北京,北京市教育委员会,工科,高职(专科),116.120965,39.960458
北京信息职业技术学院,北京,北京市教育委员会,工科,高职(专科),116.549971,39.964654
北京电子科技职业学院,北京,北京市教育委员会,工科,高职(专科),116.250627,40.117618
北京京北职业技术学院,北京,北京市教育委员会,工科,高职(专科),116.641331,40.339129
首都经济贸易大学密云分校,北京,北京市教育委员会,财经,高职(专科),116.829234,40.368783
中华女子学院,北京,中华全国妇女联合会,语言,本科/高职(专科),116.830879,36.555344
北京信息科技大学,北京,北京市教育委员会,工科,本科,116.381970,39.988892
中国矿业大学(北京),北京,教育部,工科,本科,116.349613,39.999426
中国石油大学(北京),北京,教育部,工科,本科,116.245976,40.220419
中国地质大学(北京),北京,教育部,工科,本科,116.348923,39.991346
北京联合大学,北京,北京市教育委员会,综合,本科/高职(专科),116.427048,39.990882
北京城市学院,北京,北京市教育委员会,综合,本科/高职(专科),116.817318,40.161173
中国青年政治学院,北京,中国共产主义青年团中央,政法,本科,116.307465,39.950058
北京青年政治学院,北京,北京市教育委员会,语言,高职(专科),116.307555,39.950740
首钢工学院,北京,北京市教育委员会,工科,本科/高职(专科),116.203041,39.926117
北京农业职业学院,北京,北京市教育委员会,农业,高职(专科),116.221266,39.771139
北京政法职业学院,北京,北京市教育委员会,政法,高职(专科),116.369338,39.761083
中国劳动关系学院,北京,中华全国总工会,财经,本科/高职(专科),116.317688,39.929466
北京财贸职业学院,北京,北京市教育委员会,财经,高职(专科),116.648107,39.921821
北京北大方正软件职业技术学院,北京,北京市教育委员会,工科,高职(专科), , 
北京经贸职业学院,北京,北京市教育委员会,财经,高职(专科),116.162298,39.721706
北京经济技术职业学院,北京,北京市教育委员会,财经,高职(专科), , 
北京戏曲艺术职业学院,北京,北京市教育委员会,艺术,高职(专科),116.377394,39.856001
北京汇佳职业学院,北京,北京市教育委员会,语言,高职(专科),116.245445,40.193788
北京现代职业技术学院,北京,北京市教育委员会,工科,高职(专科),116.671558,40.118211
北京科技经营管理学院,北京,北京市教育委员会,财经,高职(专科),116.290718,40.144795
北京吉利学院,北京,北京市教育委员会,综合,本科/高职(专科),116.163694,40.176208
首都师范大学科德学院,北京,北京市教育委员会,语言,本科,116.297386,39.785316
北京工商大学嘉华学院,北京,北京市教育委员会,财经,本科,116.732163,39.935465
北京科技职业学院,北京,北京市教育委员会,工科,高职(专科),116.250627,40.117618
北京培黎职业学院,北京,北京市教育委员会,语言,高职(专科),116.345305,40.020755
北京邮电大学世纪学院,北京,北京市教育委员会,综合,本科,115.893467,40.371389
北京工业大学耿丹学院,北京,北京市教育委员会,综合,本科,116.651861,40.215624
北京交通职业技术学院,北京,北京市教育委员会,工科,高职(专科),116.204409,40.228573
北京警察学院,北京,北京市教育委员会,政法,本科,116.171992,40.254585
北京经济管理职业学院,北京,北京市教育委员会,财经,高职(专科),116.474576,39.983956
北京劳动保障职业学院,北京,北京市教育委员会,综合,高职(专科),116.423479,39.985708
北京社会管理职业学院,北京,北京市教育委员会,综合,高职(专科),116.375678,39.755528
北京艺术传媒职业学院,北京,北京市教育委员会,综合,高职(专科),116.120403,40.098452
北京第二外国语学院中瑞酒店管理学院,北京,北京市教育委员会,语言,本科,116.306527,39.619212
北京体育职业学院,北京,北京市教育委员会,体育,高职(专科),116.409813,39.852161
北京交通运输职业学院,北京,北京市教育委员会,综合,高职(专科),116.662283,39.862457
北京卫生职业学院,北京,北京市教育委员会,医药,高职(专科),116.649641,39.901094
中国科学院大学,北京,中国科学院,综合,本科,116.380180,40.003597
北京网络职业学院,北京,北京市教育委员会,综合,高职(专科),116.066692,39.688018
中国社会科学院大学,北京,中国社会科学院,综合,本科,116.179375,39.737598
郑州亚欧交通职业学院,北京,河南省教育厅,综合,高职(专科),113.625368,34.746599
北京大学医学部,北京,教育部,综合,本科/高职(专科),116.358990,39.984304
北京科技大学延庆分校,北京,北京市教育委员会,工科,高职(专科),115.974422,40.472440
北京邮电大学(宏福校区),北京,教育部,工科,本科,116.375299,40.108910
陆军装甲兵学院,北京,中央军委训练管理部,综合,本科,115.637337,23.068914
陆军防化学院,北京,中央军委训练管理部,综合,本科,115.637337,23.068914
战略支援部队航天工程大学,北京,中央军委训练管理部,综合,本科,99.635117,40.373249
武警特种警察学院,北京,中央军委训练管理部,综合,本科,116.292999,39.959202
南开大学,天津,教育部,综合,本科,117.169990,39.103958
天津大学,天津,教育部,工科,本科/高职(专科),117.169884,39.113447
天津科技大学,天津,天津市教育委员会,工科,本科,117.697591,39.089363
天津工业大学,天津,天津市教育委员会,工科,本科/高职(专科),117.058447,39.238504
中国民航大学,天津,中国民用航空局,工科,本科/高职(专科),117.354309,39.102642
天津理工大学,天津,天津市教育委员会,工科,本科,117.140299,39.061907
天津农学院,天津,天津市教育委员会,农业,本科/高职(专科),117.101466,39.091612
天津医科大学,天津,天津市教育委员会,医药,本科,117.185492,39.109119
天津中医药大学,天津,天津市教育委员会,医药,本科,117.166100,39.118152
天津师范大学,天津,天津市教育委员会,师范,本科/高职(专科),117.120394,39.056932
天津职业技术师范大学,天津,天津市教育委员会,师范,本科/高职(专科),117.299122,39.055274
天津外国语大学,天津,天津市教育委员会,语言,本科,117.211191,39.106708
天津商业大学,天津,天津市教育委员会,财经,本科,117.125005,39.180739
天津财经大学,天津,天津市教育委员会,财经,本科,117.278442,39.061219
天津体育学院,天津,天津市教育委员会,体育,本科/高职(专科),117.185425,39.073258
天津音乐学院,天津,天津市教育委员会,艺术,本科,117.229405,39.123825
天津美术学院,天津,天津市教育委员会,艺术,本科,117.197277,39.163464
河北工业大学,天津,河北省教育厅,工科,本科/高职(专科),114.463313,37.977250
